date,active_calories_kcal,cycling_distance_km,movement_distance
2015-08-02T00:00:00Z,0,0,1.6374619023792873
2015-08-03T00:00:00Z,0,0,1.8597682950973626
2015-08-04T00:00:00Z,0,0,2.02059879708025
2015-08-05T00:00:00Z,0,0,2.124488031153656
2015-08-06T00:00:00Z,0,0,1.3379035480134562
2015-08-07T00:00:00Z,0,0,1.550428711033975
2015-08-08T00:00:00Z,0,0,3.1691357675424494
2015-08-09T00:00:00Z,0,0,2.237056300398869
2015-08-10T00:00:00Z,0,0,1.80510604494865
2015-08-11T00:00:00Z,0,0,2.964961514381531
2015-08-12T00:00:00Z,0,0,1.5017574978833437
2015-08-13T00:00:00Z,0,0,2.3320731410107
2015-08-14T00:00:00Z,0,0,2.151421796751775
2015-08-15T00:00:00Z,0,0,1.930008881624225
2015-08-16T00:00:00Z,0,0,1.0920827525648373
2015-08-17T00:00:00Z,0,0,2.2088424296181124
2015-08-18T00:00:00Z,0,0,1.9902870914544561
2015-08-19T00:00:00Z,0,0,2.0677468923422184
2015-08-20T00:00:00Z,0,0,2.099736588097081
2015-08-21T00:00:00Z,0,0,2.1043918017125938
2015-08-22T00:00:00Z,0,0,3.006636760396431
2015-08-23T00:00:00Z,0,0,4.443115356151237
2015-08-24T00:00:00Z,0,0,1.2771614123145998
2015-08-25T00:00:00Z,0,0,1.27162451698005
2015-08-26T00:00:00Z,0,0,2.7972219695978873
2015-08-27T00:00:00Z,0,0,1.748062332406325
2015-08-28T00:00:00Z,0,0,2.0405191591563376
2015-08-29T00:00:00Z,0,0,4.0588520051429935
2015-08-30T00:00:00Z,0,0,5.007202004619968
2015-08-31T00:00:00Z,0,0,1.56291327509745
2015-09-01T00:00:00Z,0,0,1.3211351693436373
2015-09-02T00:00:00Z,0,0,1.5301890082006875
2015-09-03T00:00:00Z,0,0,1.9062519719073625
2015-09-04T00:00:00Z,0,0,0.9341903541957
2015-09-05T00:00:00Z,0,0,1.8715265553378873
2015-09-06T00:00:00Z,0,0,5.064466742067268
2015-09-07T00:00:00Z,0,0,1.4776181791617937
2015-09-08T00:00:00Z,0,0,1.1914079811799687
2015-09-09T00:00:00Z,0,0,1.1718003820262812
2015-09-10T00:00:00Z,0,0,1.567819149209875
2015-09-11T00:00:00Z,0,0,1.9319709388617126
2015-09-12T00:00:00Z,0,0,2.3807926619560185
2015-09-13T00:00:00Z,0,0,1.9703723561723998
2015-09-14T00:00:00Z,0,0,1.246132629867375
2015-09-15T00:00:00Z,0,0,1.1786373173529625
2015-09-16T00:00:00Z,0,0,1.4913324190781811
2015-09-17T00:00:00Z,0,0,2.2633833992475623
2015-09-18T00:00:00Z,0,0,2.0087767399734497
2015-09-19T00:00:00Z,0,0,1.6462185456425498
2015-09-20T00:00:00Z,0,0,3.701995660140525
2015-09-21T00:00:00Z,0,0,2.4635354546252
2015-09-22T00:00:00Z,0,0,2.12518189106085
2015-09-23T00:00:00Z,0,0,2.202022226821656
2015-09-24T00:00:00Z,0,0,1.4913232483321626
2015-09-25T00:00:00Z,0,0,1.1943607186716125
2015-09-26T00:00:00Z,0,0,1.7406904866979624
2015-09-27T00:00:00Z,0,0,1.1174606970784062
2015-09-28T00:00:00Z,0,0,1.5733563203884062
2015-09-29T00:00:00Z,0,0,1.3614753918295688
